Number,English,Thlinkit-Skutkwan,Tshimsian-Kitunto,Tshimsian-Kithatla,Haida-Kaigani,Haida-Masset,Haida-Skidegate,Haida-Kumshewa,Kwakiool-Haishilla,Kwakiool-Hailtzuk,Kwakiool-Kwiha,Kwakiool-Likwiltoh,Kawitshin-Kowmook-Tlathool,Kawitshin-Snanaimooh,Kawitshin-Songis,Kawitshin-Kwantlin,Aht-Kaiookwaht,Niskwalli-Sinahomish,Tsheheilis-Staktamish,Tshinook-Tshinook,Tshinook-Tilhilooit-UpperTshinook,Bilhoola-Noothlakimish,Tinne-Tshilkotin,Tinne-Nakoontloon,Tinne-Takulli-Teheili,Selish-Lillooet,Selish-Kullespelm,Shahaptani-Whulwhaipum,Kootenuha-UpperKootenuha
64,Sky,"kootz, ti-ki",luh-ha,luh-ha,ushā,,yēn,kwai,ei-ki-ah,lou-wa,lou-wa,nāla-ykn,skwai-ul,thloak,skwa-tshung,swail,tshīs-ki-yu,sla-hel,ske-tatshi,skātl,i-goosha,shē-āwa-shu-dooh,yat-ah,ya-taka-hon-zo,yah,ho-kup,hih-a-mas’-kat,to-whun,a-kitl-mī-īt
65,Sun,"kuk-an, kha-kan",kim-a-kum-dzioos,kim-muk,jewī,,tzoo-rē,dzi-kwai’,tlik-eou-alleuh,klit-shi-ooalla,klit-shi-ooalla,tlīsh-illa,si-ok-um,tad-jiss,sko-kol’,siā-kum,klo-pun,slo-kwālh’,,kwul-is,a-kussa,shin-ih,tsuh,ytl-kun,tsah,snuk’-um,spuk-un-ne’,an,no-kun-mī-tun
66,Moon,tīs,kim-ākum-ātuk,kim-ākum-ātuk’,'kung,,kung,koom,ki-tsua,no-shi,no-shi,muk-willa,til-kāltz,tad-jiss,tla-kal’-tsh,il-kants,ho-pulh,slo-kwāl’-um,,til-ēim,uh-tlimin,tlookĭ,,al-tzi,,klā-min-tin,,ulhaih,na-tun-e-ke
67,Star,kuth-an-a-ha,pi-ālst,pi-ālst,kail-ta,,kai-tza,kai-tza,ki-hi-kat-sa-wa,tŏ-tōa,tŏ-tōa,to-to,kwas-sun,koo-shin,kwas’-sin,kwa-sin,ta-tōs,tsho-sen,,kaihā-na,iti-kaih-yinaba,mashī-mitz-tl,sun,sun,sum,koo’-koosh-int,kukoo’-sum,haslo,a-ktl-nōs
68,Day,yuk-i-e,tsī-ooh-tit,tsioos,shang-lan,ut-ka-gun,,sung-lod-lun,nuh-kwa,kwăk-illā,kwăk-illā,nāla,skwai-il,tzoak,kwat-hē-in,skai-lit,apa-wintl-nas,sla-hel,ōtis-keh,spōa-tuk,a-wa-ka-thluh,alē-sho-no-hatsh,,klan-un-tzi-koole,,skĭ’-it,satl-hā-lit,pat-shwai,
69,Night,ta-at,hoo-apun,ho-āpl,shing-ia,al-gă,,sin-ki,ka-noolh,kā-nootl,kā-nootl,kā-nootl,snēt,dāwk,snĕt,sne-it,ut-hai,tlā-hiluh,pit-tooh,oalī-is,hubehi,in-tlit,hut-līh,alt-ī,tsis,shī-th,spo-koo-etz’,pat-shoomish,tshl-mī-tun
70,Morning,tsoo-tat,kun-klāk,kun-tlak,shing-ai-a,sing-āi,,sun-gai-tlun,kia-lim-nuh-kwa,wi-ootle,wi-ootle,kă-ā-la,ne-tuts,hudji-kwoi,kwut-he-o,ne-tilh,koo-ulh,thloap,pe-ti-kwi-ho,thla-oohl,kudooh,īdawh,ka-pun,alt-kun,pun-da-ta,nan’-et’-ooh,skwē-kust,maistki,witl-num
71,Evening,ha-na,tse-ad-tsi-ai,tlad-um-hopl,sing-e-dalĭ,sing-i-a,,sing-i-dul,ih-āla-ka-noolh,kā-nootle-ni-kwilla,kā-nootle-ni-kwilla,jā-kwă,swhun-ā-nit,da-ādat,thal-īnet,whin-ent,toop-shitl,set-lal-ghe,pitsk,oalī-is,thoosti,tsool-tsoo-tsim-īsh,hut-līh,na-rlh-ril,na-ai,sa-ā-ap,skai-akadle,kwul-owīt,wutl-kwai’
72,Spring,kwt-an-ku-wuh-a,kau-im,tla-la-hlam’-ix,shin-kin-is-lă,,,kin-gut,hai-nuh-en-a-kwilla,kooh-whan-no-kwilla,kooh-whan-no-kwilla,hai-unuh-pa-hit,kwei-kwil-ōs,tlei-tshoos,kwai-a-luz,skwēl-is,kluk-shitl,li-hē-hed-dem,,moa-lă-hum,owa-humdi,loo-kwil-hoot-tshish,a-gol-tsin,nun-katzl-ho-ta-zulh,shi-in,in-ōth-a-ka,skai’-aputz,shatum,
73,Summer,te-a-ka-wut-ah,shoond,shoo’-unt,kuain-it,,,kin-i-a-ko,hai-nuh-ena,nai-innuh,kooh-wha,hai-unuh,sum-kwa-luk-wa,tluk-wowi,kol-tus-ul-tun-un,tum-kwa-kwis,tlo-puai-it-sha,pun-hud-dem,sin-in-milk,,tshuh-wai,ne-kwool-hootst,tan,hong-zil,tai,pī-pun’-ha-uk,sā-antl-kgh,wī-sīk-nin,
74,Autumn,yēs,kshoowt,klak-shoo’-ut,tshan-oot,,,ta-ta-ril-ga,geh-alla-tsu-unnoh,tsu-innuh-in-o-kwilla,tsu-innuh-in-o-kwilla,tsāw-unuh-pa-hit,a-hai-til-kit,shoo-shoo-teks-yid,tĭl-kwal-kālh’,tum-kwa-luh,ah-ietsha,lut-tus’-im,pun-yaioos,,twhal-al-adi,tuh-ow-kem,,un-tsa-kulla-ho-ta-kus,ta-git,shō-uz,stih-eai,kiām,
75,Winter,tawk,kāum’-shim,kāum’-shim,shin-ge,,,ta-di,tsoo-unnoh-enna,tso-innoh,tso-innoh,tsāw-unuh,soo-titsh,sō-tit,tin-sā-tuh,tum-haik,tso-itsha,pun-tus,pun-tlīlh,,,shoo-tīk,,hong-ka-zone,hwai,shoo’-tik,si-is-tith,anum,
76,Wind,kil-tsha,pa-ask,pā-ask,tut-tshao,,ta-jow,ta-dzoo,u-alla,u-alla,u-alla,yōla,pō-um,shuh-um,tsh-anung’,spa-ha-lis,yu-e,shu-hoom,sluk-i-uk,stlooh,thulul,a-shoo’kh,nun-tsi,nīl-tze,ta-tsi,skuh’-um,snē-oot,kushit,a-koo-oo-mē
77,Thunder,hai-eatl,kul-lup-lim-la-ha,kul’-āpil-ē-ip,he-lun,,hī-ling-a,hī-lung-a,lu-wha-lish-la,su-a,su-a,kwn-wha,swhā-tkom,shwo-wha-ōss,swo-whā-us,swo-whās,too-ta,whe-kwade,stook,kana-wak-sooma,kin-wah-shooma,shai-oolh,ind-naih,enl-tin-la-pa,tīt-naik,skin-ikin-āp,stil-til-ā’-um,na-wīn-ătă,num-a
78,Lightning,hai-eatl-tawa-tliak,tsum-ti,tsam-ti,shi-haul-tin,,skut-ka-ulta,kli-gukoo,su-a,su-a,su-a,tlini-wha,sei-eishi-dip,hunuk-tshooh-ās,kwun’-a-la,ni-hun-ukut,kleha-shitl,spōs’-ade,thli-thluk-imilh,sh-ylthlow,luk-tuh,ai-ai-oothlum,ind-nita-ush,kwn-ta-tlek,tīt-naik-ā-kus,wul-ewul-i-kō’-shin,ist-sa-kumī,la-kaia-hit,a-kut-lim-koo-at-tit-lih
79,Rain,si-wo,wās,wās,dull,,tūll,dull,yoo-kwa,yoo-kwa,yoo-kwa,yookwa,tshil,thlum-ooh,slum-uh,slum-ooh,mit-la,kul’-um,husseil,stoolis,shkuste,alh-whilla,na-gooltai,na-kwtl-tan,na-whool-tan,skwīsh,sti-pais,toh-toh,wut-luk-ook-oot
80,Snow,tle-it,moax,moax,tāou,,taow,ta-show,nai,nai,nai,nai,ko-balh,ma-kai,ma-ka,mak-kah,kwoīs,ma-kwo,slā-ko,ā-shuk,ih-tsaka,'khai,yus,na-tshas,yus,mak-a,sim-a-hoap’,pooi,ā-a-kloo
81,Fire,kān,lukh,lak,tshunō,,tsa-no,tsā-noo,whil-toh,whil-tilla,whil-tilla,thlīk-ulla,kwei-ih,hai-uk,shuk-ōsa,'hai-’kh,in-ik,hoad,skwt-wun,mit-ship,wa-toolh,de-ogh,kun,kwun,kwun,spēms,saudl-shit’-tin,eiloohs,a-kin-ko-ko
82,Water,hīn,ux,ux,auntl,,kun-tl,kun-dl,waup,uamp,wāp,wamp,ka-ya,ka,kwă,ka,tsu-uk,ko,ka,kal,ih-tskwa,khla,tŏh,to,tō,kō,sē-wtl-ke,"tshawsh, tshish","wuh-ō, wo-oo"
83,Ice,tīhk,tauw,tauw,kul-uk,,kul-i-ga,kul-ga,tloah,tloah,tloah,tlōh,th-ow,spei-wi,slul-oh,spiwh,kōh,kawh,,tsh-eilipo,i-kuma,hoam-ugh,kol-uh,tun,tun,skī-math,soo-yem-tuk-kuh,toah,ā-koo-it-a
84,"Earth, land",kootlk,luh-yum,yu-op,klik,,tl-ga,tow-ge,ta-kum,skumsh,skumsh,tik-kīa,gi-ja,tum-wha,tung’-ooh,tum-oh,mam-maō,swā-ti-ooh-tin,timilh,timsh,il-too-el,hool-hloomsh,tlis,nun-kit,,tā-mi’-uh,sto-liwh,tītsham,na-am’-āk
85,Sea,tīt,luh-maun,maon,tung,,,tang-a,tum-mi,tim-mihst,tim-mihst,timst,kotl-ko,kwat-kwa,kl-atza,kwatl-kwa,to-pulh,whuldsh,skee-ool-ki,tā-wilh,e-dumā,shool-oot,ya-too,ya-to-ket,,koo’-’tl,in-tsau-luk-tse-whulh (?),ata-tshis,
86,River,ha-ti-na,kul-a-uks,kul-a-uk,kwai-un-gun,,,kun-dl,wā,wā,wā,wā,kwt-um,sta-low,stal’-oom,stah-lō,klit-sa,stō-luk,,ek-hailh,wīmas,tim-ooh,tse-rin-lin,ton-e-lin,tow-ka-hun-tsha,stu’-wa-uh,n-twait’-a-kooh,"wana, atwan",
87,Lake,āh,luh-tā,luh-tā,shoo,,,soo,kowss,kowss,kowss,tzilla,tzai-alh,hā-tza,hat’-ho,hāt-sa,noo-tshi,hat’-ho,,tsā-lil,with-lula,tshalh,ping,tai-o-tin,pun-gut,tsha-lālh,tshlk-ul-li’,watām,
88,Valley,sha-ke-ē,tl-kwit-ēn,tsau-on,uh-heit,,,hē-ta,,,,whili-kish,tluh-til-kād,sh-os-kō,is-tā-kwil,swhuk,itl-stīs,is-tā-kwil,,tlāk-ta-stimsh,nith-lum-aka,kno-kink,kool-kowi-tshīt,dil-a-kooi,,un-tshi-tshet’,is-in-tok’,umiti,
89,Prairie,ya-ke-klakt,luh-ni-pa,lah’-an-ēbā,tlik-il-yo-un,,,kli-gul-lĕ,eik-illish-tukoom-ow,eikts-ku-lish,eikts-ku-lish,sik-sai-ni-kwish,sa-ei-ya,spil-hin,spul’-hun,spil-tshin,o-oh-kwi,ba-kwam,kit-ma-koon,,ni-dum-kaima,ste-atī-ku-thlu-li-mi,klooī,nun-kut-ko-zoo,klin-sa-ke,spāl’-lum,hus-soo-le-ooh,tāk,
90,"Hill, mountain",shah,ska-nīsht,lah-tē,klit-ow,,,kli-gut-kai-zoot-la,eik-alli,kik-ai,kik-ai,nik-i-e,tā-kut,smān’k,sna-nit,sle-kun-sma-nit,noot-tshi,smā-nīt,smā-niti,smān-atsh,īts-bok-omah,"til-koolh, shimt",tĭdl-kool,tzatl,tsutl,skwum,es-lum-ok,pith-ano,
91,Island,khat,lik-stā,luk-stā,kwai-i,,,guai,klik-ai,klik-stais,klik-stais,mik-yona,kwil-thlaish,koos-ās,tat-la-it-his,klit-sās,tsha-tshiht,stet-hē,pē-nilh,nowitsh,a-ka-he,kut-tshilts,noh,tse-ra-ul-la,noo,kuh-hi-noo-ish,is-tshi-soon’-uk,ma-wi,
92,"Stone, rock",tih,lo-ap,loap,kwau,,hl-kā,skā,ou-mash-killish-tei-sum,tei-sum,tei-sum,teis-sum,ha-jaish,tlut-sha,sheit,sma-nit,,thu-tla,stik-ass,kais,i-kalamut,tuk-ught,tsi,tse,tsi,kut’-le,shin-ish,pishwă,"no-kē, ko-wutl-nōk"
93,Salt,ettl-koo-hook,mō-ān,mōan,tung-hlailla,,tang-a,tang-a-kā-ga,tum-mix,tim-pa,tim-pa,timst,kwō-tlom,tlā-tlum,tla-itlim,tha-thlum,to-pulh,tla-thlum,tlilth,,es-tzōl,shts,,to-tuzl-kun,,klāl-num,it-saul,itshi-kowas,kōs-kluh’-hun-ne
94,Iron,kui-yēts,ts-wutsk,tō-utsk,ya-utsh,yī-ē-dzi,,iret’-za,tsool-tla,kel-lih,kel-lih,sih-un,heitsh,hal-ing-tun,kum-tun,ha-le-tun,tsuk-i-min,snoak,,whail,eke-waki,kook-tan-il-ta,sat-sun,sha-tain,a-tis,whīk’-tin,oo-loo-lim,usti,nihl-koo
95,Forest,ā-us,kun-ākun,kun-ākun,kookh,,,lk-ai-un,,luk-wa,luk-wa,tla-tlos,kāt-lum,,skwai,sis-se-kut,tsoo-tshis,hatl,,,el-pitshih,shtin,kul-tzul,te-tshin-tlan,il-tzul,stlĭk-al-luk,tshus-so-le-uh,pitin,a-kan-tsit-lai
96,Tree,shit-klek-as,ka-wuts-kun-ākun,kun,sa-hants-ing-hi-ang,,,kuit,glo-osh,kla-osh,glo-osh,nun-tzakus,ja-ja,shat,sus-shatlh,skāt,,kooth-lai,tlih-til,swhal-speh,ih-tshi-komana,shmoash,,te-tshin-il-tle,,pal’-al-luk,ni-kwal-uh,luhs-eiluk-was,
97,Wood,kun,luhk,kun,tsha-no,,tsan-oo,tsa-noo,luk-wa,kla-osh,glo-osh,luk-wa,kwai,tziōt,kwl-le,shi-olh,in-nix-ia,kwl-kwl-le,oatsis,ubsh,skum-ona,koo-milh,,te-tshun,,suk-uz-īk,loak,eilukwas,"kloo’-kuh, hloo-ka"
98,Leaf,"kwi-an-ni, koon-yā-ni",ī-yin-nis,yan-is,tsh-il’-hil’,,hīl,hīl,kwah-ulla,ma-mai-am,ma-mai-am,kiam-ooma,sai-ja,ts-hāl-thla,satz-tshla,tsal-thla,kluts-i-kluk-ats-im,thol-tla,,,tsh-kwonh-ama,atl-wi-ēhalp,a-tan,a-ta,a-tan,si-gi-pool-īmooh,pīts-tshtl,apih-apuh,a-koo-hlup-e-ke-ih
99,Bark,hloon,mā-ish,mās,kwst,,hits-gun-tīl,ko-dze,huh-kum,huh-kum,huh-kum,ha-koom,ta-i-adh,slai,thul-li,slai,tsuk’-um-is’,stub-id,,,ish-tsha-kup-shuk,kli-kla-kwilhp,ul-uz,lat-uz,ā-lah,slā-kuk,tshi-la-louh,apuh-eiluk-was,a-kits’-katl
100,Grass,tluk-īsa,ki-oaht’,kī-oaht,'khun,,,khun,sā-kwān,kei-tum,kei-tum,kī-tum,tlu-kum,tzāw-hul,suh-sa-hi,sa-whun,,tsa-whin,sma-koom-omsh,klit-stī-ip,watsh-kuti,shil-awsh,kloh,klow,klō,tsup’-utz,soo’-poo-le-o,waskō,tshā-ilh
101,Pine,ās,na-ka-luh-sha-kun,,ski-an,,,,tlaowsh,tlaowsh,tlaowsh,howh-mush,spai-ad-ailh,slai-up,,skat-slai,kla-us,,,,e-tshuksh,mesh-emi-shalp,tshin-too,,,kos-ul-ē-it,,tapas,
102,Maize,,,,,,,,,,,,,,,,,,,,isal,,,,,,,stooh-thloo-ākoolh,
103,Squash,,,,,,,,,,,,,,,,,,,,,,,,,,,plash-plash,
104,"Flesh, meat",klin-a,shum-mi,shām’-mi,kiā,,ki-ra,ki-ra,noo-la-kummi,me-us,me-us,ultzi,skei-gia,smai-ats,sliwk,smi-ats,tshis-kum-mis,bai-itz,shīks,stsowh,ni-kei-wak,skalh,ut-sun,but-sun,ut-sun,tse-e,skai-li-kuth,ni-kwit,a-kut-lak
105,Dog,kētl,hā-as,hā-as,hā,,ha,ha,wāts,wat-sa,wat-sa,wats,tzia-dho,sko-mai,ska-ha,sko-mai,iai-nītl,sko-be,ska-ha,tloot-tlool,kwas-let-hulum,watz,klīn,klin,kli,skā-ha,nuk-’ku-kos-umī,koosi-koosi,ha-atl-tsin
106,Buffalo,hootz,,,tan,,,,,,,,,,,,,,,shai-um,moos-moos-kili-muh,,,,,,sumĕ-hai-it-tshin,moosi-mostzin,nilt-sik
107,Bear (black),tsīk,olh,olh,,,tan,tahn,sāi,tla,tlāi,tlai,me-halh,spāht,ish-thit-whun,spa-as,tshim-itz,ish-thitī-whin,,etshoot,na-thla-lis-kin-kwa,'klā,sus,sus-tlut-us,sus,mē-hatl,,ana-hui,nip-a-koo’
108,Wolf,kow-tsh,ki-bauw,ki-bauw,ho-ootz,,koo-dze,kwootz,te-wha,koosh-eils,koosh-eils,ātlul-lum,tla-hlōm,sti-kaia,stikaio,sek-kaia,guai-utsk,sti-kaio,kai-noon-thli,,skei-look,yoot-sa-kwagh,nun,noon,yush,skow’-um,n-tsi-ut-sun,halīsh,ka-kin
109,Fox,,,,,,,,ha-tse-iuh,,,,,,,,,,,,dow-ap-tow-ap,at-shai-a,"ya-ho-un-li, nan-shis",,nan-kuz,wāl’-luh,,lootza,nai-ke-you
110,Deer,kua-kan,wunn,wunn,kauit,,kat,'kāt,,kā-meila,kā-meila,hai-was,skei-ga,hā-put,smai-is,klulk-tuna,moo-witsh,ski-gwatz,stlul-alth,,liluh-lah,tshoo-pa-nīlh,nītsă,neist-zi,is-tsi,tsi-i,tsuh-o-liwh,tsha-too-īlli,kshup’-ka
111,Elk,wut-sish,wit-zi,wid-zī,wut-tsish,,,,tlow-ils,"a-li-kun, a-la-gim",tlow-ils,tlools,ske-itsh,ai-yēs,kwa-waith,kwai-e-itz,klo-nim,kwa-goo-thin,slit-hin,moal’-ak,im-olak,sklimā,,pitzi,,tuh-ātz,sni-tshitl-se,wīnat-wī-ap-nīt,kitl-katl-le
112,Beaver,tsi-ge-di,stsōālh,stsōālh,tsing,,tsung,tsing,kou-loon,koo-lon,koo-lon,tsaoo,,,skul-laow,skul-law,ak-to,stuk’-oh,tlhuk-illik,,ni-kano,ko-lon,tsāh,tza,tsāh,skul-ow’,skul-aow,iha,sin-na
113,"Rabbit, hare",kāk,nuk-kui-ad-uh,,ha-ul,,,,,,,,,,,skul-a-wās,,,,,il-al-ik,khah,koh,,koh,skwoi-īth,,wil-alīk,kī-an-klum’-na
114,Tortoise,,,,,,,,,,,,,,,,,,,,n-kup-shal-was,,,,,,,alasīk,kuh-uh
115,Horse,,,,,kaiu-tin,,,,,,,,,ste-ke-oo,sti-keo,,,ste-ke-oo,stleits-umilh,keow-tan,ahl-ha-pa-laiok,yungs-a-kīn,,yuz-kli,tsa-ska’-ha,,koosi,te-kutl-kā-ut-sē
116,Fly,tle-thlu,ki-ik,kī-īk,stlal-ti-kwon,,kwul-hai-gwun,tsil-kul-toon,ka-kut-tenna,ka-kut-le,ka-kut-le,ka-ka-teina,,,kuk-i-ahun-na,hoh-whaie,māts-kwin,ow-haio,,,n-kainoh-ihi,ma-mish,as-tsus,ast-zi,tsus,skwas-ses’-ko,ham-al-tin,la-wip-tathla,a-ko-koo’
117,Mosquito,tah-kha,ki-ik,kī-īk,stlal-ti-kwon,,tshī-kul-di-gwa,tsil-kul-toon,,,,tlīs-tlina,,,kwa-an,kwah-un,a-assitz,thetz-akus,pshaik,opunitsh,a-pona-tshuk-tshuk,pik-’khim,tsih,tzaih,tsih,kwal-ē-mak,sil-la’-kus,wă-wā,kats-tshut-la
118,Snake,slēk,hit-hal-al,mit-hal-ālt’,sik,,,si-guh,ka-kil-kwa,sē-tlum,sē-tlum,seitl-hlum,,,sāl-ki,uhl-khi,hai-yia,bat’-zās,,,tlali-ksiow,pa-pēnk,kla-us-tsin,tse-rad-al-koi,kla-gus,na-whoai’-it,tshe-wil-le,puls-kwai,a-kin-ootl’-hlam
119,Rattlesnake,,,,,,,,,,,,,,tsuh-tun,kwata-hum-nih,,wah-poos,,,uk-owl,oan-tshap-tilh,,tan-ne-nuz,,sa-a-tĭn’,hai-ood-le-ooh,wah-poos,witl-matl
120,Bird,tsut-si,tso-uts,tsō-uts,hut-ait,,,hē-dīt,tsi-ko,tsi-ko,tsi-ko,siwkh,,,mā-ak,ma-uk,ma-mat,"boak, moak",pēp-saio,smaiko,ik-tseno,tsīk-tsi-pē,,,,spa-pa-zo’za,whi-whai-ootl,ka-kia,to-kuh-kān-e-na
121,Egg,kwut-ti,tl-kum-ma,tl-kum-at’,kow,,kow,kow,kul-hum,kul-ha-min,kul-ha-min,sik-wuno,,,kwn-kwn-āl,tsa-hāls,kun-a-nām,a-oas,kōk-stemlh,shoās-tumilh,is-pē-minah,hsh-pā,ā-ris,puk-ka,ug-iz,a-ō-ish-a,oo-oos-se,"ta-mam, ha-si-low",a-ki-muk’-ān
122,Feathers,tuh’-a-um,lim-tso-uts,lī,tuh’-a-un,,,ta-ghoon,tsil-tsil-ih,tsil-kem,tsil-kem,tsil-tsilk,,,stlipal-kun,stil-pal-kun,moohl-ha-pēt,stoak,,,dsa-kein-skuk,spo-shul-īk-tl’,"tshus, tah",put-a,put-zuz,ō-kwul,spoom,wap-tas,a-koo-klup-kā
123,Wings,ut-tu-kīh-e,nuk-uk-ai,kuk-ai,ni-hui-a,,hiai,hī,kle-la-pum,mahl-ma-tum,mahl-ma-tum,pat-lim,,,tlk-a-al,istli-kān,thlip-as-pat,them-ta-lā-had,,,ispek,'koop-oo-ult,ut-ah,ta-tzun-uz,put-tah,sluk-ā-al,stashi-wa-han,wainat-owas,a-kin-kō-in
124,Goose,"ta-muk, ta-moogh",hā-uh,ha-ush,tlke-wm,,hl-ki-toon,tl-kīt-koon,un-kuh,un-kāk,un-kāk,,,,lā-whun-na,uh-ha,ho-ook,uh-ha,hi-hai,kullā-kulamuh,ha-ho-ma,ha-hatl’,huh,huh,hah,kus-sē-huh,kwus-iwh,kula-kulāmah,ka-koot’-hlook
125,Duck (mallard),kin-tat-tshoo-net,na-nāh,na-nāht,ha-uh,,ha-ha,ha-ha,nas-nuk,"nis-nak, thlal-keo",nis-nak,tlalt-jo-nuhāk,,,tun-uksin,tun-uxin,na-ha-titsh,hat-hat,,,na-gueh-gueh,na-him-ish,toon-ootle,toon-otl,,koo’-sā’-tlin-atl,ses’-tle-whoon,hāt-hăt,kan-kus-kos-eka
126,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Pigeon,nu-kwut,,,nu-kwt,,,kuls’-de,hum-kia,ha-um,ha-um,,,,hub-bo,hum-ma,hum-ā-hum,hum-mo,,,nat-skoon-skoon,ha-um,,ten-ne-ke-al-tik,,nuk-ku-lā-kik,hut-tsa-hoat-sun,a-a,
128,Fish,,,,,,,,mā,mā,mā,mama-ōmash,,,,sa-kwi,,,,,n-skud-ake,shim-ilk,klo,,kluk,tsetz’-kwaz,,waikā-nush,kus-t;e-tă
129,Salmon,hāt,hōān,hoān,tshein,,ta-run,tsī-na,"dso-wun, hai-shun","dso-wun, hai-shun","dso-wun, hai-shun",kioo-tilla,,,kut-huks,sa-kwi,tso-wit,ko-whitz,pooi-malh,til-kulumā,eti-kwin-at,āmish,,hlook,ta-lup,tsō’-kwaz,sam-tlīh,noosoh,soo-wuk’-a-moo
130,Sturgeon,,,,,,,,,,,kwa-taioo,,,kut-tai-is-sin,koo-tai-tsin,,,wā,,ena-kwun,koo-tai-tsin,,tlook-ă-nun-uz,,hāw’-itl,tsum-to,wīlops,
131,Name,,wān,wān,ki-sin-dung (?),,,ki-rung,to-unt,kli-kum,to-unt,tlī-kum,,,sna,skwi,,sna,skwats,,yak-ileo,stōm,,now-on-zi,,skwa’-thith,is-kwist,wa-nīksa,
132,White,kli-woh,moakst,mō-ksk,hat-tuh,ut-ta,,ka-di,moak-wa,moak-wa,moak-wa,milla,,,puk-uk,puk,klis-ook,whī-ko-ko,tskooh,,nats-koop,ts-wuh,kli-yul,hle-kul,kli-yul,pu’k,ī-piuk,kooi-uh,
133,Black,tooh-yah-yah-te,to-wts-kut,tow-utsk,tla-hile-ga,hlā-hl,hai-da-mas-a,tl-kuhl,tso-ul-tlum,tso-ul-thla,tsu-ul-thla,shoo-thla,,,nuk-eih,skih,toop-kuk,nem-ith,tshnuk,,nat-thlāl,sk-ish,klit-is,hlit-us,tul-kush,kuh-kwēh,yuk-wai,tsi-mook,kum-ko-kuk’-uhl
134,Red,kan-yush-eti,mish-kit,mīsk,shaeta,si-ēt,mesh,ske-it,tla-kwa,tla-kwa,tla-kwa,tla-kwa,,,ni-suk,skwīm,tlīs-sook,heh-kwetl,ksh-teik,,nas-pāl,mook,til-til,tul-kun,,tshuk’-hē’-a-ko,ī-kwīl,lootsa,kun-ō-oos
135,Light blue,tsu-yuh-ya-ke,kwsh-kwās-kit,kwās,hutl-ilh,kin-hlilh,,kwol-kulh,tēh-sto,thlin-ih-sto,thlin-ih-sto,kow-whilish,,,,tsa-tsa-hum,yuh-pēts-yuh,,,,,kwaih,tintl-tsau,nan-tzul-tzul-kun,til-kus,kwuz-kwaz’,i-kwad-lī,,
136,Yellow,nī-kwilk,yen-al-moash-kit,smīsk,kun-tlh,,kun-tlulh,kun-tlulh,,,,thli-niha,,,,lul-lets,'klih-howk,he-kwatz,,,,mook,tul-tsau,tul-klin-al-ti,tul-tsau,kwul-le’-a,yih-kwai,,ka-muk-e-tse
137,Light green,tsu-yuh-ya-ke,mit-līts-kut,mit-mit-atuk,hutl-ilh,ohlh,,ski-now,ta-te-tshol,teih-sum,teih-sum,thli-niha,,,ne-tlulh’,tskwai,tsis-yookl,he-kwatz,,,,kwli,tul-tsau,tul-tsao,tul-tsau,kwul-le’-a,īh-kwīn,,
138,"Great, large",a-kwuts-kwo,wīl-eiks,wīl-ēiks,yoo-un,,,yoo-un,ow-mash,kai-kash,kai-kash,wā-lash,,,djuk,si,,hē-kwh,tāwlh,tāwhl,yakailh,tl-kwa-natsh,,nin-tsha,,huz-ōm’,kwt-oont,untshī,
139,"Small, little",klit-tshin,tsooshk,tsoosk,it-tsoo-tsoo-ka,,,kut-soo,um-me,um-me,how-lal,amā-paito,,,ma-mēm-in,mai-men,,mim-mān,whēl,hook,yakaits,kai-ku-ti,,nin-tsool,,kwē’-a-kwus,tl-koai-yo-me,iks-iks,
