Number,English,Thlinkit-Skutkwan,Tshimsian-Kitunto,Tshimsian-Kithatla,Haida-Kaigani,Haida-Masset,Haida-Skidegate,Haida-Kumshewa,Kwakiool-Haishilla,Kwakiool-Hailtzuk,Kwakiool-Kwiha,Kwakiool-Likwiltoh,Kawitshin-Kowmook-Tlathool,Kawitshin-Snanaimooh,Kawitshin-Songis,Kawitshin-Kwantlin,Aht-Kaiookwaht,Niskwalli-Sinahomish,Tsheheilis-Staktamish,Tshinook-Tshinook,Tshinook-Tilhilooit-UpperTshinook,Bilhoola-Noothlakimish,Tinne-Tshilkotin,Tinne-Nakoontloon,Tinne-Takulli-Teheili,Selish-Lillooet,Selish-Kullespelm,Shahaptani-Whulwhaipum,Kootenuha-UpperKootenuha
140,Strong,,kut-kit,kut-kit,duk-yi-a,,,ta-gwia,thlow-kwemush,thlow-kwemush,thlow-kwemush,thlow-keimas,,,kwam-koom,kum-kum,hauk,kwe-koo,shwitik,sup-uk,in-jas-kow-ilik,tl-klk,gun-zun,nul-tuss,til-tush-ā,urul-arul,yaw-yawt,,
141,Old,shān,wit-agh-kid,wit-agh-kit’,kuai-a,,,kai-a,no-ah-kulla,no-mash,no-mash,nomash,,,as-al-looh,si-alo-wha,mih-took,lo-lotl,at-nāwlh,shooh,ya-keook,il-kwil-hiā-num,,ta-kol-tin,,ktl-tlim’-in’,puh-pa-hoat,hooh-sād,
142,Young,klek-lu-ta-shans,shoo-push’,shoo-push’,at-un-ena,,,kow-dl,ha-a-puh,hăpuho,hăpuho,hail-thla,,,swe-wuz,swe-wīl-us,ha-wilkhl,thlowt,mai-in,kwalimh,kas-kas,tsāht-le,,kla-ta-kol-tin-illa,,tow-wē-wut,is-sitz,īna-waw,
143,Good,yuk-ke,ā-am,ām,li-o-unga,,,lag-an,aik,aik,aik,yk,,,ai,ei,klooh-li-e,na-atl,tlā-kŏ,tlakh,i-tookti,iai-ā,,nuz-zo,,ām-a,heist,shīnh,
144,Bad,kle-koos-ki,ātuhk,ātuhk,kum-lāngan,,,ta-ghunna,yeih,yuk,yuk,yas-him,,,shā-as,kul,wīk-hai,sā,hust,huh-sās’,ya-kumula,stīsh,,nun-tzun,,kul,tai-ye,tshai-looīt,
145,Dead,woo-na,tsuk,tsuk,koo-tulh,,,kood-wulh,thlil,thlil,thlil,thlul,,,kwōai,ke-ai,kuh-shitl,a-tim-it,ā-tim-in,a-ti-min,yoom-uks,at-tumā,,ta-zan,,zō-uk,til-li-dli,itlī-āwia,
146,Alive,kle-woo-na,te-too-wilhs,ti-tools-wilh,he-ning-ashen,,,hai-ning-a,kwilla,kwilla,kwilla,kwullā,,,hul-le,ulle,tītsh,hul-le,is-pul-loohum,tlawk-atsh,yaw-komni,ni-nitshis,kla-tshata-sneh,tshun-kwa-kwnī,,,tas-til-li-dli,tli-awi-ulh,
147,Cold,whus-i-yat,kwutuk,huh-kwatux’,whī,,,whī,kenneish,kenneish,kenneish,kin-aish,,,tsā-tlin,haik,ukl-tsim-uh,stlāh,tlīlh,pa-mās,tshas-tshuk,ski-ilish,kwool-kwool,na-sus-tli,wuz-guz,hulh,tsa-dlt,tsi-waia,
148,Warm,ko-at-ta,kium-uh,kium-uk,ki-na,,,kī-na,koos-hwa,koos-hwa,koos-hwa,sil-kwa,,,kwal-luz,kwa-kws,koop-a,nooh-skwl,whullā,whul-lā,sa-tā,kwilish,kun-ā-zul,sut-an-as-il,wuz-ul,kump,ik-wa-kwa-itz,la-whi,
149,I,"hāt, hut",neuio,neuio,hla,,,dī-a,nei-sho,nei-semo,noo-kwa,nookwam,tshi-dilh,un-tza,us-sa,un-sā,si-yuk,tza,untsa,untz,ni-ka,insh,tsun-uz,si-it,nĭ-yun,un’-thim,ko-yeh,einuk,
150,Thou,weh,"neunt, noon",no-on,tungā,,,dun-ga,yeu-so,soo-um,kus-sō,soo’-am,ni-gi,tan-owa,nuk-wa,no-wa,soo-wuk,dug-wē,nooi,noo,mi-ka,tīno,nun-uz,nin,shi,snoo’-a,un-noo-ī,eimuk,
151,He,yu-ta,lip-nīt,nīt,wun-ni-sha,,,la-ah,kai-tanna,yu-multa,kai-kwunna,yuk,to-tlel,too-nilh,tsun-nuk-wa,tsout-la,ya-uh,tsun-ilth,,koo-bai-ka,uh-ka,to-ush,koo-yin,ne-yan,un-na,snē-itl,tsin-ilth,pinik,
152,We,ohan,"neumt, tip-noom",noom,tul-lung,,,īt-la,nu-kwānnuh,kaium-keata,noo-kuint-uh,yinooh,tāt-noo-ap,tuh-nei-malh,utl-ne-nlh,thlei-mel,kut-tsi-tsu,dēi-malh,e-nīm,uneim,nis-aika,wath-loop,to-ro-tus,nin-kont-lan,un-il-tit,woo-snē’-motl,kain-pile,nāmuk,
153,Ye,ih-wan,neu-ĕsim,neu-ĕshim,tul-lunge,,,da-lun-ga,he-yuh-so,kai-kussa,kai-kussa,yih-ta-hoot,tāt-se-ioo,tuh-willup,nuk-wa,thloo-willip,,gool-lā-po,ei-lopa,tla-dai-ka,mis-aika,wa-thlun-īlth,,hon-tail,,,ni-pil-le,eimāk,
154,They,tshul-tuk-ut-us,tip-nīt,tip-kwīt,kla-a,,,wad-zo-hunna,kai-tauna,kai-kwanna,kai-kwanna,yil-ta-whuk,noo-ap,yis-sā,,tow-klallum,ut-tshak,tsā-nlth,tsini-oumilh,kla-bai-ka,thlas-ka,wal-tsukh,tsa-uz,kunt-lan,tsi-i,wha-ēt,tsin-ni-ilth,,
155,This,yāt,kwi-it,kwa,ah-a,,,a-ah,hai-gi-gana,illi-guh-kwana,illi-guh-kwana,yih-kiā,tei-dha,seina,us-să,te-innē,,te,te-a,yook-ook,kowia,teā-ish,nihlti,si-it,,il-te-ā,i-ye,pinik,
156,That,yoot,nah-kwi-it,kwīt,ats-kul-ta,,,wa-ah-se,eai-duh-ei-tshina,illi-kaih-kwana,illi-kaih-kwana,yih-ha,stā-dhe,tineina,tis-sa-a,tsin-itsa,,ta-de,tak,koos-alla,yah-ta,tish-at-aish,koo-yit,ne-tza-sut-a,n-gunī,il-te-oo’,se-tshut-si,ikōni,
157,All,tshul-tak-ut,,tĭhāni,watl-wan,,,wad-lu-hun,a-kaimma,a-kaimme,a-kaimme,wailum,stat-amok,sto-muk,muk-whus-whal,wi-mukh,kwu-kwis-ahtki,nuk-hil-up,whā-ko,thlewish,tung-ow,kwal-at-stuh,kont-lan,kwan-tlan,tsi-uh,tā-kum,si-ya-a,tlaoh,ka-pē
158,"Many, much",shi-ki-ti-hāin,wi-hēīlt,wī-heilt,kwa’-ni-ka,,,kwān,kai-num,kai-num,kai-num,kainum,kuh,kuh,n-gun,kuh,iai-uh,kā,kuhl,thluh-awi,a-da-tilh,sil-uh,hlan,thla-a-tla,ti-ti-ni-tlan,wha-ē-it,wha-īt’,"hilak, iluh",
159,Who,ta-si-o,"ne-ad-a, tip-na",,,,,,un-kwa-its,a-kwo-its,a-kwo-its,un-kwi,gi-āt,st-wāt,nl-thlatshi,wet,,gwā-tshi,wākl,wāt,tshān,walk-shut-uh,,nun-tzui,,soo-wāt,hlō-wet,shīn-aua,
160,Far,na-thle,weī-tō,wai-to,tsi-na-gun,,,dsīng-a,kul-alla,huish-alla,huish-alla,whī-shala,de-āji,tzawk,lē-ul,tsakh,sai-ā,lēil,lē,tā-ooh,yatlste,īh,nihl-zut,ni-zat,nihl-tsa,ka-kā-oo,el-koot,wī-i,
161,Near,klek-lu-na-hle,kai-um-gwa,kai-un-gwai,a-na-na,,,a-hun-ung,nooh-whalla,nooh-whalla,nooh-whalla,noo-whāla,eai-bek,dzitas,o-us-le-ul,stut-es,un-na-as,thei-theit,ya-kimlh,yātsh,kwameihi,etsh-thle,,till-took,,kī-ka-ta,kl-tshī-tshet,tsā-pa,
162,Here,yāt,kwa,ki,hail-kwa,,,a-ah,hai-di-keada,,,lā-wha,deish-āpe,teima,ti’-ye,e-tunna,,tī-ye,lē-uh,,tsaba,woo-oa-wha,,hun-te-nen-tsho,,il-te-ā,ī-e,itsheinuk,
163,There,klē-gha,kws-kă,kwīt,wa-kwa,,,wa-ah,,,,yā-ha,tā-di,tin-eina,tus-sa-a,ten-ne,,ta-de,hi-ān,,yah-eiba,tow-ush,,hun-te-tsho-nen,,il-te-oo’,tsin-a-ko,īkōni,
164,To-day,yai-yuk-ya,ki-aun,ki-āunsa,ai-ut,āi-yut,,ha-it,eish-tlām,kwa-kul-aio,kwa-kul-aio,kwan-āla,tzōk,tin-akwai-il,te-a-nook,tenne-weil,nās,te-sla-hel,te-skeh,tīts-kwilh,tsawi-e-loogwa,at-ti-shoo-nuh,kun-tsin,tzan-uz,kan-it-zin,tsha-kos-kē-it,yes-hatl-ha-dlt,ītshi-tilkui,now-sun-mīt-ka
165,Yesterday,tat-si-ke,kit-tshīp,kit-sīp,ut-ahl,ā-dahl,,ta-gha,klan-tshēhka,klan-tehe,klan-tehe,tlan-tsooi,shish-jāsha,tzil-ahut,thul-a-kutl,kut-sil-ākult,a-mi-inti,tool-alt-dat,keilt,ti-eillis,săk,al-too-nī-sha,utl-utl-tan,utl-kutl-tah,utl-ta,in-aĭ’-ta-whus,spēst-sē,watim,watl-koo
166,To-morrow,sē-kun,tshik-ātshīp,tshik-ātshīp’,ut-ahl,,,sung-od-lun,klun-slatsh,klun-slatsh,klun-slatsh,tlan-sla,kwēi-shun,kwai-ilsa,too-whun-alt-nat,wai-list-sā,a-mi-itli,da-da-too,,wauhe,kudoh,iai-nooskh,utl-kun,utl-kun,pun-ti,tl-pi-shē’-les’,nah-al-līp’,maish,kun-mī-it
167,Yes,ke-ka,nīt,nīt,a-ung,,,ang-uh,kea-a,lah-ma,lah-ma,kahtl,gid-awh,o-seit,a-ah,wus-eit,ah-ah,hol-la,,ah-ah,un-wit,o-ah,ah-uh,ha-uh,hā,e-i,oonē,li,
168,No,klēk,a-īn,a-īn,ka-no,,,ko-wunō,kio,ki-oosh,ki-oosh,kī,whā-a,owa,a-wun-na,owā,wik-eit,whē,mēlta,meilt,na-kai,ahk-o,toh,tā,own-tuh,whās,ta-a,tshāoo,
169,One,tshat-lēk,ke-ul,ke-ul,tsa-han-tsin,swān-sung,,skwan-sun,no-ah,num-ook,mu-ook,num,pa-a,nutza,nit-so,ne-tzā,tsow-āk,da-ho,ōtsis,paow,īht,shmow,inl-hi,i-tlah,tloo-ki,pol-la,nuk-ko,luhs,o-kē
170,Two,teh,koo-pl,koopl,stung,stoong-a,,sting,ma-looh,māhl,ma-look,māh,sa-a,isa-la,jes-so,ĭs-sa-le,ut’-luh,sa-le,sā-le,sāli,moht,itl-noosh,nan-kuh,nan-hi,nan-koh,ān-o-ush,is-se-dl,"napo, nīpit",a-as
171,Three,nusk,whl-li,kwul-le,hla-whnl,tl-kwun-ihl,,tl-kwun-ilh,yu-tooh,yu-tsh,yoo-took,yoo-tooh,tshā-las,thliwh,thliwh,thlewh,kut-tsi-tsuh,thliwh,kialthle,tshāl,thloon,as-moos,tai,tai,ta-gai,ka-tlash,tshe-tles,mitāt,katl-sa
172,Four,ta-koon,thal-puh,tuh-āl-puh,stan-sung,stan-sung,,stun-zing,mōh,moascum,mook,mōh,mōs,ha-hun,n-gas,ha-as-sin,moo,moas,mos,moas,lakit,mooas,tī,tēĭ,tin-gi,ō-hīn,moas,pi-nīpit,ha-at-sa
173,Five,ki-tshin,kus-toons’,kus-toons,kli-lth,klē-lhā,,kla-lth,skeas-kum,skeas-kum,skiowk,si-ka,si-ashus,tl-kat-shus,tl-kat-his,tlk-as-sis,soo-shuh,tsil-atz,,seilsht,kwinum,tsi-ooh,is-kun-la,skwn-lai,is-kun-lai,tshi-likst,tzīl,puh-āt,ye-ko
174,Six,kle-too-sho,kahl,kāw-ult,klu-nlh,kloo-un-ihl,,kloo-un-ulh,kat-las-kum,kat-les-kum,kat-lowk,kat-la,tuh-um,t-hum,tuh-ung,tuh-um,noo-po,yel-atz,tuhum,seītih,tuh-um,tuh-oolh,utl-tshun-tai,atl-tshan-tai,ĭtl-koo-tagai,kla’-kum-ekst,ta-kun,ptuh-nīns,en-mis-sa
175,Seven,tuh-a-too-sho,tup-hohl,tup-hō-hlt’,tshi-kwa,sik-wā,,dzi-goo-wa,mās-e-mows,mās-e-mows,mās-e-mows,atlpō,tsō-tshis,tzawks,tsa-kwus,sa-kws,utl-poo,tzooks,tsōāps,tso-aps,sini-moht,nush-al-tshlim,utl-tshun-tai-gut-inl-hi,ut-tsha-tal-te,il-ta-gunl-ti,thoo-tle-ka,sis-pitl,toos-kas,us-tat-la
176,Eight,nuts-ta-too-sho,yooh-til,koaldh,stan-shung,sta-ĕn-sung-a,,stand-zoo-ra,,yoo-took-sim-ows,yoo-took-sim-ows,mal-koon-ath,ta-āt-shis,tuk-atsha,ta-a-sis,tuk-atsa,ut-la-kwhl,ta-ka-the,,soauh,kwīlh,itlinoos,guh-in-il-ti,nan-ket-la-kul,il-kut-ting,kul-ōpst,he-e-num,puh-at-oomas,wo-hat-sa
177,Nine,koo-shook,stum’-oasht,kus-tum-oās’,klash-wash-in-go,klā-al-swan-sin-goo,,klat-le-swan-zingoo,ma-mes-kumma,na-num-skumma,na-num-skumma,na-na-ma,ti-giwh,tooh,tuk-oh,toogh,tsow-waghl,whōl,toah,sim-tōmsh,kweīst,'kish-mow,,en-tlah-la-kul,lan-ez-luk-ai-un-la,kump-al-i-men,hun-oot,tshaoo-luhs-imka,kai-kit-oo
178,Ten,tshin-kat,keăp,kai-ip,kla-lth,klāl,,kla-alh,ka-pus-hum,tas-too,haith-lus-kum,lastō,ōpan,apun,ā-pun,a-pun,hai-oo,oalum,pā-naks,pantsh,yath-luli-hum,skil-āht,it-tshil-aw-nil-nan,atl-tshan-tai,lan-ez-ī,kump,o-pun,poot-umit,it-too
179,Eleven,tshin-kat-ka-tlek,kipul-ta-kiul,kaip-ti-kā-ak,kla-lth-oh-tsa-han-tsin,klāl-wok-swān-sung,,kla-alh-wi-skwan-sun,ka-pus-hum-no-ah,,to-mu-nook,lasto-un-num,ōpan-āpa,apun-tin-itza,ā-pun-iks-nit-so,a-pun-e-kwn-e-tzā,hai-oo-tsow-āk,oalum-youh-nits-ho,,,yath-kun-iht,et-pi-al-et-is-mow,,atl-tshan-tai-itl-hi,,kump-wi-pol-la,o-pun-atl-nuk-ko,poot-umit-kwo-luhs,kla-oo-ke
180,Twelve,tshin-kat-ka-tēh,kipul-ta-koopin,kaip-ti-tup-hāt,kla-lth-oh-stung,klāl-wok-stoong,,kla-hloo-i-sting,ka-pus-hum-ma-looh,,to-ma-look,lasto-maih,,,ā-pun-it-jes-so,a-pun-e-kwn-sa-le,hai-oo-ois-ut’-luh,oalum-youh-sa-le,,,,et-pi-al-en-at-nos,,atl-tshan-tai-nan-ki,,kump-wi-an-o-ush,o-pun-itl-le-sel,poot-umit-kwo-nīpit,kla-as
181,Twenty,klē-e-kha,koo-pl-wl-keăp,kool-pl-wil-kip,kla-lth-stung,lug-ws-wān-go,,kla-li-sting,mal-pinna-ka-pus-hum,ma-shum-kwis-tio,ma-shum-kwis-tio,mas-imis-goohto,shtshin-sha,skwush,tsoh-kwus,skwik,tsush-keaitz,sal-atshi,tsim-too-milh,,moh-thlal,mow-allishs,nat-it-tshil-aw-nil-nan,nan-ki-mol-ez-zi,nat-lan-ezī,an-o-is-kumps’-e,is-il-o-pun,nīp-tīt,ai-you-woo
182,Thirty,nusk-tshin-kat,whl-li-wl-keăp,kwul-li-wil-kip,kla-le-tla-hwlth,,,kla-nhl-kwun-ilh,yu-tooh-pinna-ka-pus-hum,yoo-took-shum-kwis-tio,yoo-took-shum-kwis-tio,yootooh-imis-goohto,,,,klu-whil-whil-kea,tsush-keaitz-ois-hai-oo,,,,,as-moos-as-hil-aht,tat-it-tshil-aw-nil-nan,ta-ke-nan-ez-zi,tat-lan-ezī,ka-tlas-kumps’-e,,nituptit,katl-tsa-noo
183,Forty,ta-koon-tshin-kat,tuh-hap-wl-keăp,,kla-le-stun-shin,,,,,,,,,,,hus-in-keā,ut-tlīaik,,,,,kluash-le-kit,tin-it-tshil-aw-nil-nan,,tet-lan-ezī,ho-a-hin-kumps’-e,,pī-nīp-tīt,ka-it-tsa-a-noo
184,Fifty,ki-tshin-tshin-kat,kus-toons-wl-keăp,,kla-le-klelth,,,,,,,,,,,tl-kut-il-keā,ut-tlīaik-ois-hai-oo,,,,,klu-al-shekit-ina-stzeu-gh,is-kun-la-it-tshil-aw-nil-nan,,is-kun-lai-lan-ezī,tshi-likst-kumps’-e,,,ye-koo-noo
185,Sixty,kle-too-sho-tshin-kat,kold-wl-keăp,,kla-le-kloon,,,,,,,,,,,tuh-um-il-keā,kut-tsits-ēk,,,,,us-mōs-lekit,,,,kla-kum-kumps’-e,,,en-im-sa-noo
186,Seventy,tuh-a-too-sho-tshin-kat,tup-hoalth-wl-keăp,,kla-le-tshi-kwa,,,,,,,,,,,sa-kwil-keā,,,,,,mo-lits-nit-kil-akit,,,,,,,oas-ta-tlat-noo-woo
187,Eighty,nuts-ta-too-sho-tshin-kat,yooh-tan-wl-keăp,,kla-le-stan-sha-ma,,,,,,,,,,,tuk-ats-il-keā,,,,,,moos-likit,,,,,,,woo-wha-a-tan-a-woo
188,Ninety,koo-shook-tshin-kat,stim-oish-wl-keăp,,kla-le-klash-wās-in-go,,,,,,,,,,,to-whul-thā,,,,,,kish-mow-likit,,,,,,,kai-kit-a-woon-a-woo
189,One hundred,tshin-kat-kha,shin-shoan,kshin-shoal,la-kwa-kwalth,,,klal-e-klal,,la-kent,ō-pun-ish-staiks,la-kin,si-sāl,nats-howit,natsh-o-with,netso-wih,haioo-ook,smuk-wătshi,,si-ālh,iht-tak-amoon-ak,tsew-likit,,i-tli-a-tshan-tai,,huts-a-pi-kē-kun-ikst,ni-kaw-kein,po-tāp-tit,it-a-woon-a-woo
190,One thousand,ti-ish-tshin-kat-kha,kip-poolh-em-skit,tuh-whol-wul-ghap,,,,la-guo-kwalh,looh-sum-alla,looh-sum,looh-sum,lō-shimki,kei-tis-a-itsh,apun-eit-so-wits,up-pa-a-nitz,a-pun-ih-netso-wih,haioo-pet-ook,hakws-smuk-wătshi,,,,skil-eish-til-ushs,,lan-ez-ze-a-tshan-tai,,,au-au-pun-stukā,na-po-tāp-tit,it-a-woo-tlit-a-woon-a-woo
191,To eat,ut-ha,ya-oh-kun,kup-ĭl,ta-tla,,,ka-ta,hum-sha,hum-sha,um-sha,a-map,ei-eit-thlin,ul-thlin,i-thlin,ul-tun,ha-ook,ul-thlin,eil-thlin,nāmil-eilthla,muk-ulum,āh-alph,,o-o-i-yan,,shi-ē-tlin,i-thlin,tu-kwitat,kut-ētl
192,To drink,hi-ni-tun-na,ux-tshin,āksi,hoot-wla,,,hoo-tli,na-ka,na-ka,na-ka,na-hait,ko-kwa,ka-ka,kwa-kwa,ka-ka,nuk-shitl,ko-kwa,skā,thlā-umsh,kumsh,ka-ĕ-helle,,to-tas-sinlh,,ō-kwa,soos-tish,tsha-wata,ke-koo-tlatl
193,To run,kuk-koo,ul-lo-bān,ul-loo-bān,al-thla,,,ka-git,kē-whilla,kē-whilla,kē-whilla,tsili-whilla,ī-jeīk,ko-ke-num,kwa-nung-ut,whun-kea-nun,kum-miet-ta-ka-kook,til-ā-wīl,swuklh,waukse-whetuk,mil-kowtsh,'kle-īkim,,to-rol-gai,,ke-hlil,kai-tshutlh,wai-ah-ti,
194,To dance,un-ut-leh,mī-li-git,ni-luk,hiat-la,,,hi-atl,umil-thla,youh-wha,youh-wha,i-whā,jei-jil-thlip,kwai-eilis,kwai-el-izh,kwēlih,hoo-yalh,dzo-bo-līk,was-yin-im,lawh-suk,mish-shooioot,na-uh-um,tsin-i-tih,shin-an-al-le,uz-nut-tĭ,kwuz-e-lih,kwoai-min-sōt,tkwāp-anit,
195,To sing,ut-ka-shi,li-mi,li-mi,ka-dzoot-la,,,ska-lung,ni-noea,ni-nu-ya,ni-nu-ya,tinī-hilla,wo-wo,tei-lum,tei-lum,ti-lum,noon-ook,tei-lim,sei-lin,mai-eina,mil-ālam,nui-āmilh,shin,hut-yhn,tsut-shun,a-ī-tlum,is-sin-koo-nai,wan-pit,
196,To sleep,net-it-ti,his-toh,huh-staw’-gun,ka-dēt-la,,,tai,keal-thla,meh-ha,keal-thla,me-hait,tlā-tshit,ei-tit,e-tut,ītut,wa-itsh,e-toot,smoo-sum,sik-lthla,mih-ōpsik,si-too-ma,,nan-is-tin,,o-i-īt,etsh,untshoo-nuk,
197,To speak,yu-kwa-tun,al-uh,a-al-gu-hun,ku-soot-la,,,guī-shoo,pu-kwalla,kai-uta,pu-kwalla,ya-kut-ala,kwa-kwai,kwel,kaw-kul,kwāl,wowā,gwad-ug-wad,tuk-whil,tukh-kepal-āw,mihi-pali-lelm,etl-iouk,,yatl-tik,,kwal-ō-it,kul-kwalth,sin-wīt,
198,To see,tlah-tin,ni-idh,ni-ilth,kain-tla,,,kain-tla,ta-to-kwella,ta-to-kwella,ta-to-kwella,tō-kwal-thla,kook-jai,lamit,kwun-is,kwat-sit,,sho-utz,etuh-un,tlawklh,mihi-loots,al-kīsh,nhl-in,no-rontl-in,hun-itl-in,ātz-a-hun,ats-a-hunt,eikai-noota,
199,To Love,nut-ti-un-eook,shī-pin,,is-ti-ou-unga,,,,mesh-illa,mesh-illa,mesh-illa,sā-whilla,hātl,tle,nis-kle-is-kwa,nis-tle,ya-ak-ook,shātl,uts-yai-in-kin,hā-an,tikeh,a-do-īkits,pa-na-sun,te-a-na-zum,,whĭs-kun,in-a-ha-mintsh,at-tikeh-sha,
200,To kill,hou-mut-tshuk,tsa-kwti-tit,tsā-guntl,lal-ti-ai-ugh,,,ti-uh,ul-ha,ul-ha,ul-ha,keil-aka,kai-ītum,ka-īt,kuk-thā-tum,kā-et,kuh-sāp,gool-āl-tim,noot-shai-um,yoots,eiwak,wen-shim,ta-tzuz-an,tai-atl-tzan,,zōko-kun,poolsk,awa-itli-awaia-tătă-shash,
201,To sit,kun-noo,te-at,ta-an,ka-oolthla,,,ki-ah-uh,kwailh,kwai-hit,kwailh,kwa-heit,kwā-dha,ā-mut,um-ut,um-at,te-us,gwud-īl,taw-ilih,thē-milh,mithlait,im-tuh,,sut-ta,,kin-i-si-mi-ha-ak,klak-shitlh,a-i-kit,
202,To stand,yan-hun,hail-kin,hai’-it-kun,kiā-et-la,,,ki-a-roont-la,tla-wihl,tla-wihl,tla-wihl,tlaw-hal-thla,ko-eishit,he-lush,sī-tling,tlh-lili,kluk-ās,kē-is,ō-tsah-om,tlāl-tsuk,mis-wheit,thlim-muh,,tim-at-in-taih,,statl’-looh,tash-itlh,tootīk,
203,To go,te-noo-kut,ta-tau-wlh,"tā-ut-lhan, tawlh-in",kuai-et-la,,,kai-etla,la-ik-tsi,la-ish-tsi,la-ish-tsi,akia,koo-so,nēm,whun-i-yih,nām,ku-i-tshe,oh,wāks,waukse,meia,tlal-ītluh,kwn-i-uhl,na-tu-run-tshuh,un-nain-duhl,kwat-thath,hoo-ish,wīnuk,tsin-na-hē
204,To come,ha-koo,koi-dux,kul,ta-wit,,,hai-dlul-ul,kai-na,kai-na,kai-na,kai-laka,koo-āgia,me-wa,un-nih,um-mi,tshoo-kwa,tla,keisa,eisa,muhtā,tshla-iwh,,a-ran-an-te,,tsha-ā-ush,tsoo-ish,wīnum,wuh-un
205,To walk,ta-kai-nah-la-na-koot,yān,klad-um-yān-ī,kai-it-la,,,ka-run,kahtla,too-whet,tow-a,hā-sha,e-edash,eimash,sthung,im-mih,ya-tsook,eimash,yup-anoom,waukse,meia,ish-shim,tsai-utl,na-kol-yuk-il-kai,tsai-utl,mā’-tuk-uh,whist,wi-na-niki,
206,To work,yin-nas-nih,nuth-lal,at-lal-is,ist’-tĭ-kla’,,,īs-ta,pa-la,e-yuh-ella,pa-la,ya-hilla,kath-leim,yo-īs,dji,ya-is,,yaioos,ye-yoos,na-āmilh,muh-muh-gubba,kshin-āmuh,,ana-run-tin,,zwuz-o-him,is-kood-le,koot-koot,
207,To steal,a-ma-tum,kā-lik,kā-luk,in-kwulth-tai-in,,,kolt-lĭ,kel-ootla,kel-ootla,kel-ootla,kel-ootla,tshoo-olh,kan,kān-kun,kun,,kā-da,i-koot-suk,ut-sootuk,ya-koioo,ōluh,ut-sin-a-ish,un-uz-i,un-dun-is-ti,na-ā-whu’k,es-in-a-kwai,pa-whī-da,
208,To lie,kul-thlī-ai,pi-ik,pī-īk,kil-ka-tung,,,koo-ut,kai-koos,tle-koos,kai-koos,thlai-kwali,tuhei-giak,smet-sin-kun,nuh-kai-ākun,ma-tsin-kun,,mun-thim,uts-pooh,kah-up,ishti-ati-ta,no-kut-luh,,hoon-tzit,,kā-kuz-a,is-i-au-kwai,tsishka,
209,To give,tu-tshi-ki,kil-lum,kil-lam-ilh,lak-līs-ta,,,it-tsilh,te-tsinla,tsoo-a,tsoo-a,tso,hud-alti-gia,a-whīt,ung-a-as,yah-tsa,hin-ne,ā-mitz,ei-wha,tshālh,eilook,na-pa-lantsk,koo-tuk,san-in-tih,,ō-min,ko-whitz’-utl,pa-nīm,
210,To laugh,ut-ka-shook,sis-awshs,shis-āh-shin,ka-kwutta,,,'kha,ta-thlilla,ta-thlilla,ta-thlilla,tath-leit,kash-kush-ek,yin-num,nut-hing,hu-al-lum,tlī’-ish-wha,hi-um,si-awh,heiltsh,utsāu-wila,eil-kwanilh,tshit-it-loh,in-tloh,tsut-luh,muk-a-shā-nuk,au-in-soo-ti,ti-ut,
211,To cry,kuk-ah,we-how-etk,wi-how-ut-kun,shi-it-lĕ,,,skai-tl,kwas-sa,kwas-sa,kwas-sa,kwash,tlō-whe,hām,whā-ung,hām,,hām,she-oom,ōak,no-kwiluks,,tsut-tsa,hun-tza,tsut-tsa,ĭl’-lal,est-tsa-ka-kwi,nuh-ti,
